route_id,canonical,primary_query,search_intent,query_owner_scope,priority,title,h1,meta_description,canonical_ok,indexable,in_sitemap,hub_click_depth,contextual_inbound,contextual_outbound,product_links_in_main,primary_product,secondary_product,cta_variant,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,yandex_clicks_28d,yandex_impressions_28d,yandex_ctr_28d,yandex_position_28d,ga4_organic_sessions_28d,ga4_product_clicks_28d,performance_evidence
"S05","/arhetipy/chto-eto/","что такое архетип","получить простое определение архетипа и живые примеры","системное определение; не страница отдельной богини и не публичный тест","P2","Что такое архетип простыми словами: значение и примеры | Evolution House","Что такое архетип простыми словами — и почему это не ярлык","Что такое архетип простыми словами: живые примеры, отличие функции от ярлыка и способ увидеть повторяющийся сценарий без попытки объяснить себя одной богиней.","yes","yes","yes","1","2","3","1","article","mentoring","definition_to_dynamic","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R06","/arhetipy/gestiya/","архетип Гестии","понять внутренний центр, тишину и действие архетипа Гестии","архетипическая роль; общий запрос о расслаблении принадлежит L04","P2","Архетип Гестии: тишина, из которой рождается дело | Evolution House","Архетип Гестии: тишина, в которой рождается дело","Что означает архетип Гестии в женщине: почему её тишина не прячет от жизни, а помогает услышать главное, убрать суету и довести замысел до поступка.","yes","yes","yes","1","3","3","2","mentoring","two_week","hestia_rebuild_rhythm","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R07","/arhetipy/demetra/","архетип Деметры","понять заботу, рост и тень контроля в архетипе Деметры","архетипическая роль; жизненные запросы о помощи принадлежат L08 и L09","P2","Архетип Деметры: любовь, которая помогает расти | Evolution House","Архетип Деметры: любовь, рядом с которой можно расти","Что означает архетип Деметры в женщине: как забота создаёт тепло и опору, почему помощь превращается в контроль и как любить, не живя вместо другого.","yes","yes","yes","1","4","3","2","mentoring","strength","demeter_growth_for_both","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"R08","/arhetipy/gekata/","архетип Гекаты","понять завершение, границу и переход в архетипе Гекаты","архетипическая роль; общий запрос о новом этапе жизни принадлежит кластеру переходов","P2","Архетип Гекаты: сила завершить и дать форму | Evolution House","Архетип Гекаты: сила завершить и дать новому форму","Что означает архетип Гекаты в женщине: как завершать прежний этап, отличать границу от ответного удара и придавать новому конкретную форму.","yes","yes","yes","1","3","3","2","mentoring","retreats","hecate_completion_to_transition","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L07","/zhizn/ne-umeyu-govorit-net/","как научиться говорить нет","научиться спокойно отказывать в конкретной просьбе","практика отказа; зависимость выбора от одобрения принадлежит L05","P2","Как научиться говорить «нет» без чувства вины | Evolution House","Как научиться говорить «нет» без чувства вины","Как спокойно отказать человеку, взять паузу и не объясняться бесконечно: готовые фразы, живая рабочая сцена и архетипическая карта границ.","yes","yes","yes","1","5","3","1","strength","","calm_no_as_strength","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L08","/otnosheniya/zhivu-radi-drugih/","как научиться жить для себя","вернуть собственным желаниям место в структуре жизни","вся жизнь отдана другим; отдельный конфликт «хочу/надо» принадлежит L01","P2","Как научиться жить для себя, а не только ради других | Evolution House","Как научиться жить для себя, если вы привыкли жить ради других","Как вернуть своим желаниям место в жизни, не бросая близких и обязанности. Практика карты недели, живой пример и архетипическая карта заботы и выбора.","yes","yes","yes","1","3","3","2","mentoring","two_week","include_your_life","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L09","/otnosheniya/zabochus-o-vseh/","как перестать всем помогать в ущерб себе","ограничить автоматическую помощь и вернуть ответственность владельцу","конкретная помощь за другого; общая структура жизни принадлежит L08","P2","Как перестать всем помогать в ущерб себе | Evolution House","Как перестать всем помогать в ущерб себе","Как отличить помощь от привычки делать за других, ограничить объём участия и вернуть человеку его ответственность — без жестокости и чувства, что вы всех бросили.","yes","yes","yes","1","2","3","2","strength","mentoring","help_without_taking_power","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"S06","/arhetipy/resurs-i-ten/","тень архетипа","понять, как полезная архетипическая функция становится перегрузкой","ресурс и перегрузка функции; не юнгианская Тень как отдельное понятие","P1","Тень архетипа: как ресурс становится перегрузкой | Evolution House","Тень архетипа: как ресурс становится перегрузкой","Тень архетипа простыми словами: как полезная сила превращается в перегрузку, где проходит момент перехода и как вернуть себе выбор.","yes","yes","yes","1","2","3","1","url","mentoring","dynamic_to_library","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"S04","/muzhskie-arhetipy/","мужские архетипы","увидеть восемь мужских архетипов как разные функции силы и действия","мужская система и архетипы мужчин; без публичного теста и женского универсального CTA","P1","Мужские архетипы: 8 функций и их значение | Evolution House","Мужские архетипы: восемь ролей, а не восемь типов мужчин","Гермес, Арес, Зевс, Посейдон, Гефест, Аполлон, Гадес и Дионис: восемь мужских архетипов как функции действия, силы, порядка, глубины и живости.","yes","yes","yes","1","2","3","1","strength","","male_functions_in_practice","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L10","/zhizn/sila-bez-kontrolya/","как перестать контролировать партнёра","перестать управлять решениями другого, сохранив свою ответственность","контроль другого взрослого; делегирование рабочей задачи принадлежит L12","P1","Как перестать контролировать партнёра | Evolution House","Как перестать контролировать партнёра и не отказаться от ответственности","Как отличить ответственность от давления, договориться о рамках и перестать управлять решениями партнёра, близкого или коллеги.","yes","yes","yes","1","3","3","2","strength","mentoring","replace_checking_with_strength","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L12","/zhizn/vse-delayu-sama/","всё делаю сама","передать другому владельцу целую задачу, а не отдельное поручение","полный алгоритм передачи результата; общий объём нагрузки принадлежит L03","P0","Всё делаю сама: как перестать тащить всё на себе | Evolution House","Всё делаю сама: как перестать тащить всё на себе","Почему помощь не снимает ответственность и как передать человеку целую задачу: результат, срок, полномочия и последствия — без молчаливого переделывания.","yes","yes","yes","1","4","3","2","mentoring","strength","rebuild_responsibility_system","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L13","/zhizn/dostigla-no-ne-zhivu/","пустота после достижения цели","завершить прежний маршрут и заметить начало следующего этапа","нет ожидаемой радости после конкретного результата; общий запрос «цель достигнута, что дальше» принадлежит кластеру переходов","P1","Пустота после достижения цели: почему радости нет | Evolution House","Пустота после достижения цели: что делать, если радости нет","Что делать с пустотой после достигнутой цели: как отделить реальный результат от лишних ожиданий, завершить прежний маршрут и услышать новый отклик.","yes","yes","yes","1","4","3","2","mentoring","retreats","achievement_to_next_stage","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L15","/arhetipy/hochyu-no-ne-deystvuyu/","хочу но не делаю","перевести названное желание в первый реальный шаг","желание уже названо; тема отсутствия собственного желания принадлежит L01","P1","Хочу, но не действую: как начать делать | Evolution House","Хочу, но не действую: как перейти от желания к первому шагу","Почему желание не превращается в действие, как отличить неясную цель от реального препятствия и выбрать первый шаг без войны с собой.","yes","yes","yes","1","3","3","1","two_week","","desire_touches_reality","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
"L16","/arhetipy/strategiya-bez-vkusa/","жизнь на автомате","вернуть вкус к жизни, не разрушая работающую систему","единственный владелец общего запроса «как вернуть вкус к жизни»","P0","Жизнь на автомате: как вернуть вкус к жизни | Evolution House","Жизнь на автомате: как вернуть вкус, не разрушая работающую систему","Что делать, если всё организовано и работает, но дни проходят на автомате: как проверить старую стратегию и вернуть в неё вкус, любопытство и выбор.","yes","yes","yes","1","3","3","2","two_week","mentoring","taste_without_breaking_life","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a — Search Console, Yandex Webmaster and GA4 exports were not available in the repository"
